Cluster,Topics
580,"recovery, 19, covid, creative, campaign"
581,"karloo, joel, mwg15, refurbishment, sherp"
582,"music, refurbishments, warwick, studio, dance"
583,"school, education, primary, gla, install"
584,"pty, pfm, programmed, ceiling, ps"
585,"shortfall, lastpass, licences, microsoft, licenses"
586,"dfes, fal, airport, link, forrestfield"
587,"contract, agreed, following, terms, conditions"
588,"grounds, maintenance, lawn, mowing, gardening"
589,"assist, net, requires, pc, dmirs"
590,"catering, conference, wafes, awards, venue"
591,"rail, various, civil, engineer, coordinating"
592,"panel, design, workplace, interior, fitout"
593,"road, concept, detailed, design, street"
594,"maintenance, emhs, health, metropolitan, east"
595,"australia, western, digitisation, state, library"
596,"trucks, supply, 4wd, cab, gvm"
597,"western, supply, force, police, wapol"
598,"royal, boilers, hospital, steam, boiler"
599,"spectrometer, liquid, analyser, supply, chemcentre"
600,"people, 120, young, target, youth"
601,"maritime, welshpool, collections, geraldton, museum"
602,"2021, 22, internal, nmhs, audit"
603,"panel, primary, school, kyilla, education"
604,"vinyl, health, replacement, floor, coverings"
605,"case, country, campus, health, albany"
606,"resources, strategic, support, advisory, manager"
607,"citrix, solution, support, software, landgate"
608,"ac, upgrade, replacement, conditioning, air"
609,"optional, hospital, commissioning, ophthalmic, microscope"
610,"north, general, health, clinic, dental"
611,"dba, direct, calling, routing, arkahna"
612,"invited, eoi, expression, percent, art"
613,"northam, support, busselton, school, bus"
614,"appliances, netapp, maintenance, renewal, netbackup"
615,"standards, healthcare, council, achs, membership"
616,"incident, advisory, vaccination, 19, covid"
617,"future, country, lead, health, wachs"
618,"human, director, recruitment, cuahrs2015, hr"
619,"support, maintenance, licences, software, esri"
620,"issued, bedroom, housing, lot, construction"
621,"redevelopment, consultancy, rft, architectural, lead"
622,"place, office, innaloo, tassels, fitout"
623,"woodman, waggrakine, synergy, workcover, electricity"
624,"pco, legislative, counsel, parliamentary, drafting"
625,"boiler, regional, justice, albany, prison"
626,"ict, cuatps2019, cloud, analyst, technical"
627,"senior, contracts, officer, personnel, procurement"
628,"parties, tendered, contract, school, bus"
629,"subcontractors, tendering, preference, employment, aboriginal"
630,"development, developer, support, website, web"
631,"protocol, supply, infrastructure, satellite, radio"
632,"installation, metropolitan, machine, tafe, dental"
633,"installation, river, road, gibb, culvert"
634,"oakajee, western, value, renewable, hydrogen"
635,"needs, accommodation, address, immediate, region"
636,"airline, reservations, decommissioning, data, airfare"
637,"ningaloo, coastal, reserve, waas, track"
638,"fence, perimeter, school, garrison, fencing"
639,"2021, 2020, cost, feasibility, studies"
640,"01, bid, senior, officer, redaction"
